feature,gain_importance,etf,split_id,target_column
z_return_20d_excess_rf,0,XLC,1,target_5d_forward_return_raw
z_return_60d_rel_spy,49,XLC,1,target_5d_forward_return_raw
z_price_to_MA20,51,XLC,1,target_5d_forward_return_raw
z_price_to_MA50,47,XLC,1,target_5d_forward_return_raw
z_MA20_minus_MA50,66,XLC,1,target_5d_forward_return_raw
z_volatility_20d,83,XLC,1,target_5d_forward_return_raw
z_max_drawdown_60d,18,XLC,1,target_5d_forward_return_raw
z_ATR_14,100,XLC,1,target_5d_forward_return_raw
z_volume_change,47,XLC,1,target_5d_forward_return_raw
z_relative_volume,73,XLC,1,target_5d_forward_return_raw
z_RSI_14,80,XLC,1,target_5d_forward_return_raw
z_market_beta_60d,55,XLC,1,target_5d_forward_return_raw
z_idio_vol_60d,75,XLC,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,86,XLC,1,target_5d_forward_return_raw
z_Treasury_10Y,119,XLC,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,63,XLC,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,89,XLC,1,target_5d_forward_return_raw
z_CPI,76,XLC,1,target_5d_forward_return_raw
z_Unemployment_Rate,101,XLC,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,96,XLC,1,target_5d_forward_return_raw
z_VIX,96,XLC,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,26,XLC,1,target_5d_forward_return_raw
z_return_5d,64,XLE,1,target_5d_forward_return_raw
z_return_5d_rel_spy,12,XLE,1,target_5d_forward_return_raw
z_return_5d_excess_rf,4,XLE,1,target_5d_forward_return_raw
z_return_20d,34,XLE,1,target_5d_forward_return_raw
z_return_20d_rel_spy,13,XLE,1,target_5d_forward_return_raw
z_return_20d_excess_rf,1,XLE,1,target_5d_forward_return_raw
z_return_60d_rel_spy,27,XLE,1,target_5d_forward_return_raw
z_price_to_MA20,73,XLE,1,target_5d_forward_return_raw
z_price_to_MA50,84,XLE,1,target_5d_forward_return_raw
z_MA20_minus_MA50,100,XLE,1,target_5d_forward_return_raw
z_volatility_20d,133,XLE,1,target_5d_forward_return_raw
z_max_drawdown_60d,37,XLE,1,target_5d_forward_return_raw
z_ATR_14,50,XLE,1,target_5d_forward_return_raw
z_volume_change,52,XLE,1,target_5d_forward_return_raw
z_relative_volume,61,XLE,1,target_5d_forward_return_raw
z_RSI_14,45,XLE,1,target_5d_forward_return_raw
z_market_beta_60d,78,XLE,1,target_5d_forward_return_raw
z_idio_vol_60d,47,XLE,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,75,XLE,1,target_5d_forward_return_raw
z_Treasury_10Y,93,XLE,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,85,XLE,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,101,XLE,1,target_5d_forward_return_raw
z_CPI,95,XLE,1,target_5d_forward_return_raw
z_Unemployment_Rate,108,XLE,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,86,XLE,1,target_5d_forward_return_raw
z_VIX,122,XLE,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,78,XLE,1,target_5d_forward_return_raw
z_return_5d,92,XLF,1,target_5d_forward_return_raw
z_return_5d_rel_spy,15,XLF,1,target_5d_forward_return_raw
z_return_5d_excess_rf,4,XLF,1,target_5d_forward_return_raw
z_return_20d,58,XLF,1,target_5d_forward_return_raw
z_return_20d_rel_spy,16,XLF,1,target_5d_forward_return_raw
z_return_20d_excess_rf,1,XLF,1,target_5d_forward_return_raw
z_return_60d_rel_spy,52,XLF,1,target_5d_forward_return_raw
z_price_to_MA20,44,XLF,1,target_5d_forward_return_raw
z_price_to_MA50,67,XLF,1,target_5d_forward_return_raw
z_MA20_minus_MA50,60,XLF,1,target_5d_forward_return_raw
z_volatility_20d,143,XLF,1,target_5d_forward_return_raw
z_max_drawdown_60d,24,XLF,1,target_5d_forward_return_raw
z_ATR_14,76,XLF,1,target_5d_forward_return_raw
z_volume_change,52,XLF,1,target_5d_forward_return_raw
z_relative_volume,39,XLF,1,target_5d_forward_return_raw
z_RSI_14,62,XLF,1,target_5d_forward_return_raw
z_market_beta_60d,63,XLF,1,target_5d_forward_return_raw
z_idio_vol_60d,32,XLF,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,123,XLF,1,target_5d_forward_return_raw
z_Treasury_10Y,71,XLF,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,109,XLF,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,91,XLF,1,target_5d_forward_return_raw
z_CPI,68,XLF,1,target_5d_forward_return_raw
z_Unemployment_Rate,65,XLF,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,115,XLF,1,target_5d_forward_return_raw
z_VIX,112,XLF,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,73,XLF,1,target_5d_forward_return_raw
z_return_5d,61,XLI,1,target_5d_forward_return_raw
z_return_5d_rel_spy,9,XLI,1,target_5d_forward_return_raw
z_return_5d_excess_rf,1,XLI,1,target_5d_forward_return_raw
z_return_20d,62,XLI,1,target_5d_forward_return_raw
z_return_20d_rel_spy,24,XLI,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLI,1,target_5d_forward_return_raw
z_return_60d_rel_spy,103,XLI,1,target_5d_forward_return_raw
z_price_to_MA20,34,XLI,1,target_5d_forward_return_raw
z_price_to_MA50,57,XLI,1,target_5d_forward_return_raw
z_MA20_minus_MA50,95,XLI,1,target_5d_forward_return_raw
z_volatility_20d,48,XLI,1,target_5d_forward_return_raw
z_max_drawdown_60d,25,XLI,1,target_5d_forward_return_raw
z_ATR_14,50,XLI,1,target_5d_forward_return_raw
z_volume_change,60,XLI,1,target_5d_forward_return_raw
z_relative_volume,48,XLI,1,target_5d_forward_return_raw
z_RSI_14,59,XLI,1,target_5d_forward_return_raw
z_market_beta_60d,70,XLI,1,target_5d_forward_return_raw
z_idio_vol_60d,71,XLI,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,128,XLI,1,target_5d_forward_return_raw
z_Treasury_10Y,74,XLI,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,107,XLI,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,81,XLI,1,target_5d_forward_return_raw
z_CPI,74,XLI,1,target_5d_forward_return_raw
z_Unemployment_Rate,71,XLI,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,138,XLI,1,target_5d_forward_return_raw
z_VIX,136,XLI,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,57,XLI,1,target_5d_forward_return_raw
z_return_5d,123,XLK,1,target_5d_forward_return_raw
z_return_5d_rel_spy,19,XLK,1,target_5d_forward_return_raw
z_return_5d_excess_rf,3,XLK,1,target_5d_forward_return_raw
z_return_20d,31,XLK,1,target_5d_forward_return_raw
z_return_20d_rel_spy,5,XLK,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLK,1,target_5d_forward_return_raw
z_return_60d_rel_spy,71,XLK,1,target_5d_forward_return_raw
z_price_to_MA20,95,XLK,1,target_5d_forward_return_raw
z_price_to_MA50,38,XLK,1,target_5d_forward_return_raw
z_MA20_minus_MA50,95,XLK,1,target_5d_forward_return_raw
z_volatility_20d,81,XLK,1,target_5d_forward_return_raw
z_max_drawdown_60d,43,XLK,1,target_5d_forward_return_raw
z_ATR_14,62,XLK,1,target_5d_forward_return_raw
z_volume_change,43,XLK,1,target_5d_forward_return_raw
z_relative_volume,68,XLK,1,target_5d_forward_return_raw
z_RSI_14,81,XLK,1,target_5d_forward_return_raw
z_market_beta_60d,102,XLK,1,target_5d_forward_return_raw
z_idio_vol_60d,25,XLK,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,78,XLK,1,target_5d_forward_return_raw
z_Treasury_10Y,99,XLK,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,72,XLK,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,60,XLK,1,target_5d_forward_return_raw
z_CPI,82,XLK,1,target_5d_forward_return_raw
z_Unemployment_Rate,91,XLK,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,115,XLK,1,target_5d_forward_return_raw
z_VIX,108,XLK,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,77,XLK,1,target_5d_forward_return_raw
z_return_5d,86,XLP,1,target_5d_forward_return_raw
z_return_5d_rel_spy,21,XLP,1,target_5d_forward_return_raw
z_return_5d_excess_rf,3,XLP,1,target_5d_forward_return_raw
z_return_20d,63,XLP,1,target_5d_forward_return_raw
z_return_20d_rel_spy,15,XLP,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLP,1,target_5d_forward_return_raw
z_return_60d_rel_spy,65,XLP,1,target_5d_forward_return_raw
z_price_to_MA20,57,XLP,1,target_5d_forward_return_raw
z_price_to_MA50,41,XLP,1,target_5d_forward_return_raw
z_MA20_minus_MA50,41,XLP,1,target_5d_forward_return_raw
z_volatility_20d,126,XLP,1,target_5d_forward_return_raw
z_max_drawdown_60d,16,XLP,1,target_5d_forward_return_raw
z_ATR_14,32,XLP,1,target_5d_forward_return_raw
z_volume_change,30,XLP,1,target_5d_forward_return_raw
z_relative_volume,73,XLP,1,target_5d_forward_return_raw
z_RSI_14,65,XLP,1,target_5d_forward_return_raw
z_market_beta_60d,67,XLP,1,target_5d_forward_return_raw
z_idio_vol_60d,28,XLP,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,91,XLP,1,target_5d_forward_return_raw
z_Treasury_10Y,72,XLP,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,98,XLP,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,92,XLP,1,target_5d_forward_return_raw
z_CPI,124,XLP,1,target_5d_forward_return_raw
z_Unemployment_Rate,61,XLP,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,140,XLP,1,target_5d_forward_return_raw
z_VIX,180,XLP,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,55,XLP,1,target_5d_forward_return_raw
z_return_5d,79,XLRE,1,target_5d_forward_return_raw
z_return_5d_rel_spy,19,XLRE,1,target_5d_forward_return_raw
z_return_5d_excess_rf,4,XLRE,1,target_5d_forward_return_raw
z_return_20d,55,XLRE,1,target_5d_forward_return_raw
z_return_20d_rel_spy,14,XLRE,1,target_5d_forward_return_raw
z_return_20d_excess_rf,1,XLRE,1,target_5d_forward_return_raw
z_return_60d_rel_spy,52,XLRE,1,target_5d_forward_return_raw
z_price_to_MA20,35,XLRE,1,target_5d_forward_return_raw
z_price_to_MA50,109,XLRE,1,target_5d_forward_return_raw
z_MA20_minus_MA50,91,XLRE,1,target_5d_forward_return_raw
z_volatility_20d,55,XLRE,1,target_5d_forward_return_raw
z_max_drawdown_60d,27,XLRE,1,target_5d_forward_return_raw
z_ATR_14,26,XLRE,1,target_5d_forward_return_raw
z_volume_change,29,XLRE,1,target_5d_forward_return_raw
z_relative_volume,64,XLRE,1,target_5d_forward_return_raw
z_RSI_14,134,XLRE,1,target_5d_forward_return_raw
z_market_beta_60d,33,XLRE,1,target_5d_forward_return_raw
z_idio_vol_60d,70,XLRE,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,97,XLRE,1,target_5d_forward_return_raw
z_Treasury_10Y,75,XLRE,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,95,XLRE,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,71,XLRE,1,target_5d_forward_return_raw
z_CPI,125,XLRE,1,target_5d_forward_return_raw
z_Unemployment_Rate,84,XLRE,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,92,XLRE,1,target_5d_forward_return_raw
z_VIX,148,XLRE,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,55,XLRE,1,target_5d_forward_return_raw
z_return_5d,75,XLU,1,target_5d_forward_return_raw
z_return_5d_rel_spy,16,XLU,1,target_5d_forward_return_raw
z_return_5d_excess_rf,5,XLU,1,target_5d_forward_return_raw
z_return_20d,38,XLU,1,target_5d_forward_return_raw
z_return_20d_rel_spy,10,XLU,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLU,1,target_5d_forward_return_raw
z_return_60d_rel_spy,61,XLU,1,target_5d_forward_return_raw
z_price_to_MA20,74,XLU,1,target_5d_forward_return_raw
z_price_to_MA50,70,XLU,1,target_5d_forward_return_raw
z_MA20_minus_MA50,66,XLU,1,target_5d_forward_return_raw
z_volatility_20d,81,XLU,1,target_5d_forward_return_raw
z_max_drawdown_60d,43,XLU,1,target_5d_forward_return_raw
z_ATR_14,119,XLU,1,target_5d_forward_return_raw
z_volume_change,45,XLU,1,target_5d_forward_return_raw
z_relative_volume,77,XLU,1,target_5d_forward_return_raw
z_RSI_14,62,XLU,1,target_5d_forward_return_raw
z_market_beta_60d,101,XLU,1,target_5d_forward_return_raw
z_idio_vol_60d,47,XLU,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,122,XLU,1,target_5d_forward_return_raw
z_Treasury_10Y,35,XLU,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,60,XLU,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,67,XLU,1,target_5d_forward_return_raw
z_CPI,133,XLU,1,target_5d_forward_return_raw
z_Unemployment_Rate,54,XLU,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,87,XLU,1,target_5d_forward_return_raw
z_VIX,119,XLU,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,71,XLU,1,target_5d_forward_return_raw
z_return_5d,69,XLV,1,target_5d_forward_return_raw
z_return_5d_rel_spy,19,XLV,1,target_5d_forward_return_raw
z_return_5d_excess_rf,3,XLV,1,target_5d_forward_return_raw
z_return_20d,51,XLV,1,target_5d_forward_return_raw
z_return_20d_rel_spy,9,XLV,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLV,1,target_5d_forward_return_raw
z_return_60d_rel_spy,56,XLV,1,target_5d_forward_return_raw
z_price_to_MA20,46,XLV,1,target_5d_forward_return_raw
z_price_to_MA50,65,XLV,1,target_5d_forward_return_raw
z_MA20_minus_MA50,67,XLV,1,target_5d_forward_return_raw
z_volatility_20d,151,XLV,1,target_5d_forward_return_raw
z_max_drawdown_60d,25,XLV,1,target_5d_forward_return_raw
z_ATR_14,135,XLV,1,target_5d_forward_return_raw
z_volume_change,68,XLV,1,target_5d_forward_return_raw
z_relative_volume,51,XLV,1,target_5d_forward_return_raw
z_RSI_14,46,XLV,1,target_5d_forward_return_raw
z_market_beta_60d,106,XLV,1,target_5d_forward_return_raw
z_idio_vol_60d,37,XLV,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,90,XLV,1,target_5d_forward_return_raw
z_Treasury_10Y,60,XLV,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,104,XLV,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,93,XLV,1,target_5d_forward_return_raw
z_CPI,99,XLV,1,target_5d_forward_return_raw
z_Unemployment_Rate,46,XLV,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,55,XLV,1,target_5d_forward_return_raw
z_VIX,147,XLV,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,59,XLV,1,target_5d_forward_return_raw
z_return_5d,72,XLY,1,target_5d_forward_return_raw
z_return_5d_rel_spy,10,XLY,1,target_5d_forward_return_raw
z_return_5d_excess_rf,2,XLY,1,target_5d_forward_return_raw
z_return_20d,42,XLY,1,target_5d_forward_return_raw
z_return_20d_rel_spy,6,XLY,1,target_5d_forward_return_raw
z_return_20d_excess_rf,0,XLY,1,target_5d_forward_return_raw
z_return_60d_rel_spy,62,XLY,1,target_5d_forward_return_raw
z_price_to_MA20,67,XLY,1,target_5d_forward_return_raw
z_price_to_MA50,81,XLY,1,target_5d_forward_return_raw
z_MA20_minus_MA50,90,XLY,1,target_5d_forward_return_raw
z_volatility_20d,73,XLY,1,target_5d_forward_return_raw
z_max_drawdown_60d,34,XLY,1,target_5d_forward_return_raw
z_ATR_14,92,XLY,1,target_5d_forward_return_raw
z_volume_change,24,XLY,1,target_5d_forward_return_raw
z_relative_volume,28,XLY,1,target_5d_forward_return_raw
z_RSI_14,66,XLY,1,target_5d_forward_return_raw
z_market_beta_60d,74,XLY,1,target_5d_forward_return_raw
z_idio_vol_60d,48,XLY,1,target_5d_forward_return_raw
z_Federal_Funds_Rate,94,XLY,1,target_5d_forward_return_raw
z_Treasury_10Y,129,XLY,1,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,92,XLY,1,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,102,XLY,1,target_5d_forward_return_raw
z_CPI,52,XLY,1,target_5d_forward_return_raw
z_Unemployment_Rate,89,XLY,1,target_5d_forward_return_raw
z_Financial_Conditions_Index,70,XLY,1,target_5d_forward_return_raw
z_VIX,129,XLY,1,target_5d_forward_return_raw
z_rate_sensitivity_beta,113,XLY,1,target_5d_forward_return_raw
z_return_5d,90,XLB,2,target_5d_forward_return_raw
z_return_5d_rel_spy,15,XLB,2,target_5d_forward_return_raw
z_return_5d_excess_rf,5,XLB,2,target_5d_forward_return_raw
z_return_20d,115,XLB,2,target_5d_forward_return_raw
z_return_20d_rel_spy,32,XLB,2,target_5d_forward_return_raw
z_return_20d_excess_rf,1,XLB,2,target_5d_forward_return_raw
z_return_60d_rel_spy,139,XLB,2,target_5d_forward_return_raw
z_price_to_MA20,90,XLB,2,target_5d_forward_return_raw
z_price_to_MA50,120,XLB,2,target_5d_forward_return_raw
z_MA20_minus_MA50,250,XLB,2,target_5d_forward_return_raw
z_volatility_20d,134,XLB,2,target_5d_forward_return_raw
z_max_drawdown_60d,91,XLB,2,target_5d_forward_return_raw
z_ATR_14,194,XLB,2,target_5d_forward_return_raw
z_volume_change,79,XLB,2,target_5d_forward_return_raw
z_relative_volume,93,XLB,2,target_5d_forward_return_raw
z_RSI_14,117,XLB,2,target_5d_forward_return_raw
z_market_beta_60d,173,XLB,2,target_5d_forward_return_raw
z_idio_vol_60d,147,XLB,2,target_5d_forward_return_raw
z_Federal_Funds_Rate,172,XLB,2,target_5d_forward_return_raw
z_Treasury_10Y,171,XLB,2,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,237,XLB,2,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,224,XLB,2,target_5d_forward_return_raw
z_CPI,175,XLB,2,target_5d_forward_return_raw
z_Unemployment_Rate,174,XLB,2,target_5d_forward_return_raw
z_Financial_Conditions_Index,303,XLB,2,target_5d_forward_return_raw
z_VIX,361,XLB,2,target_5d_forward_return_raw
z_rate_sensitivity_beta,163,XLB,2,target_5d_forward_return_raw
z_return_5d,168,XLC,2,target_5d_forward_return_raw
z_return_5d_rel_spy,36,XLC,2,target_5d_forward_return_raw
z_return_5d_excess_rf,7,XLC,2,target_5d_forward_return_raw
z_return_20d,146,XLC,2,target_5d_forward_return_raw
z_return_20d_rel_spy,38,XLC,2,target_5d_forward_return_raw
z_return_20d_excess_rf,2,XLC,2,target_5d_forward_return_raw
z_return_60d_rel_spy,120,XLC,2,target_5d_forward_return_raw
z_price_to_MA20,167,XLC,2,target_5d_forward_return_raw
z_price_to_MA50,95,XLC,2,target_5d_forward_return_raw
z_MA20_minus_MA50,199,XLC,2,target_5d_forward_return_raw
z_volatility_20d,203,XLC,2,target_5d_forward_return_raw
z_max_drawdown_60d,86,XLC,2,target_5d_forward_return_raw
z_ATR_14,226,XLC,2,target_5d_forward_return_raw
z_volume_change,93,XLC,2,target_5d_forward_return_raw
z_relative_volume,127,XLC,2,target_5d_forward_return_raw
z_RSI_14,129,XLC,2,target_5d_forward_return_raw
z_market_beta_60d,155,XLC,2,target_5d_forward_return_raw
z_idio_vol_60d,159,XLC,2,target_5d_forward_return_raw
z_Federal_Funds_Rate,138,XLC,2,target_5d_forward_return_raw
z_Treasury_10Y,186,XLC,2,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,125,XLC,2,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,201,XLC,2,target_5d_forward_return_raw
z_CPI,152,XLC,2,target_5d_forward_return_raw
z_Unemployment_Rate,136,XLC,2,target_5d_forward_return_raw
z_Financial_Conditions_Index,299,XLC,2,target_5d_forward_return_raw
z_VIX,342,XLC,2,target_5d_forward_return_raw
z_rate_sensitivity_beta,106,XLC,2,target_5d_forward_return_raw
z_return_5d,133,XLE,2,target_5d_forward_return_raw
z_return_5d_rel_spy,28,XLE,2,target_5d_forward_return_raw
z_return_5d_excess_rf,5,XLE,2,target_5d_forward_return_raw
z_return_20d,122,XLE,2,target_5d_forward_return_raw
z_return_20d_rel_spy,21,XLE,2,target_5d_forward_return_raw
z_return_20d_excess_rf,3,XLE,2,target_5d_forward_return_raw
z_return_60d_rel_spy,94,XLE,2,target_5d_forward_return_raw
z_price_to_MA20,115,XLE,2,target_5d_forward_return_raw
z_price_to_MA50,167,XLE,2,target_5d_forward_return_raw
z_MA20_minus_MA50,166,XLE,2,target_5d_forward_return_raw
z_volatility_20d,155,XLE,2,target_5d_forward_return_raw
z_max_drawdown_60d,172,XLE,2,target_5d_forward_return_raw
z_ATR_14,258,XLE,2,target_5d_forward_return_raw
z_volume_change,73,XLE,2,target_5d_forward_return_raw
z_relative_volume,99,XLE,2,target_5d_forward_return_raw
z_RSI_14,119,XLE,2,target_5d_forward_return_raw
z_market_beta_60d,124,XLE,2,target_5d_forward_return_raw
z_idio_vol_60d,177,XLE,2,target_5d_forward_return_raw
z_Federal_Funds_Rate,194,XLE,2,target_5d_forward_return_raw
z_Treasury_10Y,159,XLE,2,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,236,XLE,2,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,188,XLE,2,target_5d_forward_return_raw
z_CPI,165,XLE,2,target_5d_forward_return_raw
z_Unemployment_Rate,197,XLE,2,target_5d_forward_return_raw
z_Financial_Conditions_Index,257,XLE,2,target_5d_forward_return_raw
z_VIX,267,XLE,2,target_5d_forward_return_raw
z_rate_sensitivity_beta,181,XLE,2,target_5d_forward_return_raw
z_return_5d,125,XLF,2,target_5d_forward_return_raw
z_return_5d_rel_spy,19,XLF,2,target_5d_forward_return_raw
z_return_5d_excess_rf,9,XLF,2,target_5d_forward_return_raw
z_return_20d,108,XLF,2,target_5d_forward_return_raw
z_return_20d_rel_spy,30,XLF,2,target_5d_forward_return_raw
z_return_20d_excess_rf,1,XLF,2,target_5d_forward_return_raw
z_return_60d_rel_spy,103,XLF,2,target_5d_forward_return_raw
z_price_to_MA20,85,XLF,2,target_5d_forward_return_raw
z_price_to_MA50,139,XLF,2,target_5d_forward_return_raw
z_MA20_minus_MA50,199,XLF,2,target_5d_forward_return_raw
z_volatility_20d,179,XLF,2,target_5d_forward_return_raw
z_max_drawdown_60d,73,XLF,2,target_5d_forward_return_raw
z_ATR_14,191,XLF,2,target_5d_forward_return_raw
z_volume_change,87,XLF,2,target_5d_forward_return_raw
z_relative_volume,129,XLF,2,target_5d_forward_return_raw
z_RSI_14,111,XLF,2,target_5d_forward_return_raw
z_market_beta_60d,198,XLF,2,target_5d_forward_return_raw
z_idio_vol_60d,64,XLF,2,target_5d_forward_return_raw
z_Federal_Funds_Rate,193,XLF,2,target_5d_forward_return_raw
z_Treasury_10Y,130,XLF,2,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,204,XLF,2,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,233,XLF,2,target_5d_forward_return_raw
z_CPI,199,XLF,2,target_5d_forward_return_raw
z_Unemployment_Rate,171,XLF,2,target_5d_forward_return_raw
z_Financial_Conditions_Index,372,XLF,2,target_5d_forward_return_raw
z_VIX,320,XLF,2,target_5d_forward_return_raw
z_rate_sensitivity_beta,200,XLF,2,target_5d_forward_return_raw
z_return_5d,124,XLI,2,target_5d_forward_return_raw
z_return_5d_rel_spy,19,XLI,2,target_5d_forward_return_raw
z_return_5d_excess_rf,10,XLI,2,target_5d_forward_return_raw
z_return_20d,83,XLI,2,target_5d_forward_return_raw
z_return_20d_rel_spy,22,XLI,2,target_5d_forward_return_raw
z_return_20d_excess_rf,1,XLI,2,target_5d_forward_return_raw
z_return_60d_rel_spy,173,XLI,2,target_5d_forward_return_raw
z_price_to_MA20,102,XLI,2,target_5d_forward_return_raw
z_price_to_MA50,129,XLI,2,target_5d_forward_return_raw
z_MA20_minus_MA50,207,XLI,2,target_5d_forward_return_raw
z_volatility_20d,113,XLI,2,target_5d_forward_return_raw
z_max_drawdown_60d,65,XLI,2,target_5d_forward_return_raw
z_ATR_14,199,XLI,2,target_5d_forward_return_raw
z_volume_change,81,XLI,2,target_5d_forward_return_raw
z_relative_volume,99,XLI,2,target_5d_forward_return_raw
z_RSI_14,116,XLI,2,target_5d_forward_return_raw
z_market_beta_60d,151,XLI,2,target_5d_forward_return_raw
z_idio_vol_60d,156,XLI,2,target_5d_forward_return_raw
z_Federal_Funds_Rate,165,XLI,2,target_5d_forward_return_raw
z_Treasury_10Y,156,XLI,2,target_5d_forward_return_raw
z_Yield_Spread_10Y2Y,119,XLI,2,target_5d_forward_return_raw
z_Breakeven_Inflation_10Y,181,XLI,2,target_5d_forward_return_raw
z_CPI,175,XLI,2,target_5d_forward_return_raw
z_Unemployment_Rate,207,XLI,2,target_5d_forward_return_raw
z_Financial_Conditions_Index,402,XLI,2,target_5d_forward_return_raw
z_VIX,371,XLI,2,target_5d_forward_return_raw
z_rate_sensitivity_beta,195,XLI,2,target_5d_forward_return_raw
z_return_5d,135,XLK,2,target_5d_forward_return_raw
z_return_5d_rel_spy,30,XLK,2,target_5d_forward_return_raw
z_return_5d_excess_rf,7,XLK,2,target_5d_forward_return_raw
z_return_20d,124,XLK,2,target_5d_forward_return_raw
